[2018-12-17 23:10:07]	1724  	INFO 	192.168.5.157 ssh_keygen_login success!
[2018-12-17 23:21:42]	1724  	INFO 	tlog Analysis running,Need to wait!
[2018-12-17 23:21:42]	1724  	INFO 	And_meter1 running!
[2018-12-17 23:21:42]	1724  	INFO 	And_meter2 running!
[2018-12-17 23:22:01]	1724  	INFO 	And_meter1 Begin run!,And_meter1_param: --worker 1 --loop 1 --pps 20000 eth5 /home/meter/sto2.pcap
[2018-12-17 23:22:24]	1724  	INFO 	tlog Analysis running,Need to wait!
[2018-12-17 23:22:24]	1724  	INFO 	And_meter1 running!
[2018-12-17 23:22:24]	1724  	INFO 	And_meter2 running!
[2018-12-17 23:22:41]	1724  	INFO 	tlog Analysis completed! End time=2018-12-17 23:22:41
[2018-12-17 23:22:42]	1724  	INFO 	kill And_meter1
[2018-12-17 23:22:42]	1724  	INFO 	And_meter1 run count=4
[2018-12-17 23:22:42]	1724  	INFO 	kill And_meter2
[2018-12-17 23:22:42]	1724  	INFO 	And_meter2 run count=2
[2018-12-17 23:22:53]	1724  	INFO 	tlog Analysis after trace_count=75883990
[2018-12-17 23:22:53]	1724  	INFO 	meter after obj_table_count=705182
[2018-12-17 23:22:53]	1724  	INFO 	meter totel Use time=599
[2018-12-17 23:22:54]	1724  	INFO 	OS_CPU_Core=8;OS_MEM=32G;OS_SYS_DISK=2000.4G
[2018-12-17 23:22:54]	1724  	ERROR	version_main Record version error! soft_version=DBA3.2.4.5
[2018-12-17 23:22:54]	1724  	INFO 	version_main Record Correct version should be DBA3.2.4.6
[2018-12-17 23:22:54]	1724  	INFO 	Version support object_summary!
[2018-12-17 23:22:54]	1724  	INFO 	objects summary switch state: Open! S_OBJECTS_SWITCH=1
[2018-12-17 23:22:54]	1724  	INFO 	obj_table incr count=5
[2018-12-17 23:22:54]	1724  	INFO 	tlog Analysis Use time=140s
[2018-12-17 23:22:54]	1724  	INFO 	trace_logs_detail_part incr count=1840013
[2018-12-17 23:22:54]	1724  	INFO 	trace_logs_detail_part per-second count=13142
